	WT_F1	WT_F2	WT_M3	WT_M4	rd10_F4	rd10_F3	rd10_F2	rd10_F1	rd10_M8	rd10_M6	rd10_M7	rd10_M5
Usp47	6250	7142	6693	7689	6450	5286	6153	6198	7377	6743	5610	6776
Usp48	6152	8312	5937	7681	7385	6690	5968	6864	8154	8023	6089	7097
Usp49	710	878	746	905	510	479	568	541	575	601	489	649
Usp5	3092	3343	3368	3424	4890	3483	4186	4667	5239	4406	4073	4913
Usp50	6	17	9	4	7	7	6	4	15	7	9	8
Usp51	31	31	41	45	39	41	37	46	53	51	47	59
Usp53	907	1033	854	1059	985	769	876	882	945	934	830	1009
Usp54	1649	2219	1770	2105	1920	1707	1640	1830	2152	2033	1661	1809
Usp6nl	4666	5184	4684	5802	2566	2213	2835	2775	2603	2819	2535	3007
Usp7	5783	6983	6072	7089	6958	5604	6326	6831	7823	7346	5814	7309
Usp8	2174	2482	2198	2725	2479	2130	2273	2411	2943	2579	2184	2696
Usp9x	6367	7822	6552	7960	9029	7341	8182	8911	11613	9835	7484	9456
Usp9y	0	0	0	0	0	0	0	0	0	0	0	0
Uspl1	2016	2432	1835	2458	1865	1693	1873	2072	2159	2166	1900	1908
Ust	456	417	473	472	915	645	786	883	1033	885	686	1003
Utf1	0	0	0	0	0	0	0	0	0	0	0	0
Utp11	634	754	633	768	715	555	658	700	743	681	614	745
Utp14a	639	756	620	729	679	600	638	593	763	686	583	711
Utp14b	1244	1319	1105	1360	2985	2272	2698	2575	4188	3548	2740	3008
Utp14b-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Utp15	759	948	712	882	869	699	742	910	944	847	798	848
Utp18	571	699	606	708	604	469	557	591	648	682	512	627
Utp20	917	1192	893	1096	1060	874	826	1046	1212	1138	936	1059
Utp23	156	168	171	170	262	156	209	234	246	255	210	275
Utp25	582	671	626	675	602	534	508	479	610	640	542	545
Utp3	1401	1819	1417	1799	1131	920	1147	1141	1201	1097	967	1289
Utp4	610	772	654	759	825	611	695	708	912	881	683	753
Utp6	2121	2405	2083	2604	2327	1834	2242	2167	2653	2405	2016	2486
Utrn	2692	2774	3335	2620	4825	3703	3907	4819	4886	4574	3720	5083
Uts2	8	9	6	10	25	30	8	13	19	27	13	10
Uts2b	2	0	0	1	1	0	0	0	0	1	0	0
Uts2r	4	8	3	16	25	15	12	24	19	11	14	14
Uty	0	0	956	1228	1	0	1	0	1190	1093	862	1108
Uvrag	1262	1418	1391	1516	1400	1073	1356	1416	1366	1367	1151	1456
Uvssa	1140	1452	1052	1446	1121	998	888	1024	1174	1170	915	1243
Uxs1	526	651	663	680	780	601	734	779	907	773	654	945
Uxt	119	125	105	137	133	134	135	140	155	132	137	159
V1ra8	0	0	0	0	0	0	0	0	0	0	0	0
V1rd19	0	0	0	0	0	0	0	0	0	0	0	0
V1rg10	0	0	0	0	0	0	0	0	0	0	0	0
Vac14	946	1037	1014	1096	1290	1009	1160	1358	1334	1255	1068	1326
Vamp1	3386	3725	3460	4288	5390	3849	4611	5178	5777	4928	4364	5756
Vamp2	25565	27386	26004	30867	31035	23714	29235	33008	33036	31360	28416	34913
Vamp3	769	877	951	988	1140	888	940	1161	1249	1072	934	1123
Vamp4	2226	2600	2282	3040	3677	2660	3377	3572	4319	3804	2924	3968
Vamp5	15	15	21	14	63	39	47	44	60	44	36	47
Vamp7-ps	3	0	0	1	2	3	0	0	0	0	1	1
Vamp8	310	271	413	335	368	256	309	400	406	348	322	373
Vamp9	3	6	7	7	13	5	8	9	12	9	16	13
Vangl1	98	61	125	62	217	163	173	170	189	209	158	232
Vangl2	337	367	446	356	689	520	577	669	892	708	616	943
Vapa	2829	3095	3094	3679	4193	3046	3904	4296	4976	4339	3492	4932
Vapb	4132	4664	4527	5317	5781	4350	5211	5584	6584	5812	4931	6178
Vars	1186	1284	1225	1210	1661	1334	1341	1553	1605	1445	1389	1547
Vars2	810	867	791	877	925	818	741	838	944	899	800	839
Vash1	970	1046	936	1144	885	824	907	964	1081	1026	1007	1011
Vash2	169	163	210	175	235	171	229	298	320	270	227	358
Vasn	837	936	883	903	778	672	681	780	848	891	707	833
Vasp	440	409	599	485	904	696	644	1866	827	758	719	785
Vat1	657	741	1094	734	2018	1054	1266	1364	1548	1562	1319	1395
Vat1l	4558	4625	5499	5189	11464	7887	9021	9765	12199	9793	7962	11295
Vaultrc5	2	2	2	1	1	3	2	1	0	2	2	4
Vav1	23	12	21	14	122	79	103	112	125	106	94	115
Vav2	407	469	587	413	1214	745	744	848	1192	866	769	941
Vav3	509	518	456	549	934	717	833	899	1125	915	738	1019
Vax1	3	3	5	5	8	2	10	27	10	14	2	14
Vax2	774	837	800	850	920	558	822	965	906	785	846	954
Vax2os	4359	5277	3499	5016	1413	1455	2083	2041	1327	2093	2431	1759
Vbp1	2889	3369	2714	3986	2408	1873	2409	2311	2783	2513	2081	2705
Vcam1	418	453	479	449	1649	1178	1490	2309	1999	1646	1314	1803
Vcan	674	310	968	98	348	1370	868	849	1577	1753	1199	2033
Vcl	769	798	1039	783	1153	943	1012	3847	1224	1185	1024	1130
Vcp	7116	8054	7719	8091	8242	6572	8287	8335	9071	8135	7340	9190
Vcp-rs	39	49	31	53	53	41	60	53	63	70	67	55
Vcpip1	2739	3269	2630	3249	2620	2154	2584	2597	3118	2842	2377	3050
Vcpkmt	286	285	243	332	363	284	339	304	386	371	306	407
Vdac1	12345	13543	13217	15555	18943	13561	17325	18135	20837	17791	15224	21019
Vdac2	4332	5065	4953	5533	5259	4083	4762	5078	6105	5141	4222	5842
Vdac3	2297	2442	2660	3124	3319	2634	3128	3095	4288	3227	2645	4135
Vdac3-ps1	17	242	8	15	323	21	307	311	29	383	274	14
Vdr	18	20	24	18	41	23	28	47	43	30	24	43
Vegfa	4202	4827	3825	4759	6214	5245	5598	5155	6255	7164	5878	5183
Vegfb	935	944	1112	1031	1743	1197	1309	1429	1674	1513	1338	1684
Vegfc	62	77	90	94	171	108	130	133	181	130	135	155
Vegfd	20	6	30	11	64	19	15	8	23	46	11	20
Veph1	51	21	129	7	91	72	55	54	84	101	50	71
Vezf1	865	1219	1081	1026	888	742	932	1072	1178	879	861	1179
Vezt	2214	2634	2316	2989	2836	2493	2482	2680	3273	3006	2305	2853
Vgf	803	922	583	747	848	697	777	915	889	755	902	792
Vgll1	0	0	0	0	0	0	0	0	0	0	0	0
Vgll2	0	0	0	0	0	0	0	0	1	0	0	0
Vgll3	73	92	94	85	173	130	150	273	211	146	131	196
Vgll4	457	421	560	445	808	564	627	773	935	808	727	777
Vhl	1119	1169	1138	1368	1384	1003	1343	1287	1614	1432	1196	1387
Vhl-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Vil1	100	113	102	124	96	98	92	124	91	95	76	104
Vill	19	13	47	6	72	43	33	64	55	55	56	63
Vim	3216	3458	8290	3244	8916	6871	7666	15105	9967	7319	6888	9095
Vinac1	36	50	42	30	66	38	54	87	53	48	54	66
Vip	340	394	333	423	591	439	565	571	606	607	543	671
Vipas39	1565	1720	1667	1858	1986	1596	1776	1851	2143	1979	1594	2091
Vipr1	40	34	33	51	50	50	55	85	70	79	65	75
Vipr2	1360	1683	1417	1719	2412	1918	1999	2193	2837	2695	1870	2650
Virma	2062	2513	2047	2457	2155	1792	1944	2116	2599	2274	1924	2325
Vis1	0	1	0	0	1	0	1	1	0	3	0	5
Vit	172	184	1455	188	698	497	514	744	638	552	379	601
Vkorc1	13	25	30	22	43	38	27	30	36	35	22	31
Vkorc1l1	2017	2200	2015	2460	2205	1666	2087	2156	2643	2313	1913	2488
Vldlr	13451	16286	12018	16450	7507	7042	8321	7010	8409	8956	7869	7969
Vma21	2005	2164	2006	2506	2675	1927	2654	2635	3134	2682	2234	3378
Vma21-ps	0	1	0	0	0	0	0	0	0	0	0	0
Vmac	587	618	647	655	649	533	583	655	796	618	531	734
Vmn1r-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps10	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps100	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps101	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps102	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps103	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps104	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps106	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps107	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps108	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps109	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps11	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps110	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps111	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps112	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps113	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps114	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps116	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps117	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps12	0	1	1	3	0	0	0	0	0	0	0	2
Vmn1r-ps120	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps123	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps125	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps126	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps127	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps128	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps13	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps131	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps132	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps133	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps135	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps136	0	1	3	2	3	1	1	4	2	1	2	2
Vmn1r-ps137	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps139	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps14	0	0	0	2	0	0	0	0	0	0	0	2
Vmn1r-ps140	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps141	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps142	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps143	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps144	1	1	1	0	1	2	3	1	3	2	1	6
Vmn1r-ps145	4	9	2	7	3	6	12	3	5	7	2	3
Vmn1r-ps146	0	3	1	1	0	1	1	1	2	1	1	0
Vmn1r-ps147	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps148	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps149	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps15	5	11	3	8	0	3	3	1	0	0	1	4
Vmn1r-ps150	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps151	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps152	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps16	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps17	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps18	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps19	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps2	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps20	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps21	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps22	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps23	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps24	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps25	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps26	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps27	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps28	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps29	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps3	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps31	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps32	2	0	1	0	0	0	0	0	3	2	0	0
Vmn1r-ps34	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps40	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps45	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps46	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps47	0	0	0	0	0	0	2	0	0	0	0	0
Vmn1r-ps48	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps49	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps5	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps50	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps51	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps52	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps53	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps55	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps56	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps57	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps58	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps59	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps6	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps60	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps61	0	0	0	0	0	0	0	0	1	0	0	0
Vmn1r-ps62	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps63	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps64	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps65	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps66	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps67	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps68	0	0	0	0	0	0	0	0	0	1	0	0
Vmn1r-ps69	0	0	0	1	0	0	0	0	0	0	0	0
Vmn1r-ps70	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps71	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps73	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps74	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps75	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps76	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps77	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps78	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps79	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps8	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps80	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps83	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps84	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps85	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps86	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps9	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps92	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps93	0	0	0	0	1	0	0	0	0	0	0	0
Vmn1r-ps94	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps95	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps96	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps97	0	0	0	0	0	0	0	0	0	0	0	1
Vmn1r-ps99	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r1	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r10	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r11	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r12	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r125	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r13	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r132	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r14	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r142	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r148	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r15	0	0	0	0	1	4	1	3	0	3	4	0
Vmn1r151	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r152	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r155	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r159	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r16	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r160	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r163	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r166	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r167	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r169	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r17	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r171	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r174	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0	0	0	0	1	0	0
Vmn1r177	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r178	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r179	0	0	0	0	1	0	0	0	2	1	0	1
Vmn1r18	1	0	1	0	0	0	0	0	0	0	0	0
Vmn1r180	1	0	0	0	1	0	1	4	1	1	0	0
Vmn1r181	0	0	0	0	0	0	0	0	1	3	0	0
Vmn1r183	0	0	1	2	0	0	0	0	0	0	0	0
Vmn1r184	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r185	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r188	0	0	0	0	0	1	0	1	0	1	0	0
Vmn1r189	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r19	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r190-ps	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r191	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r192	0	0	0	0	0	0	0	0	0	1	0	0
Vmn1r193	0	0	0	0	0	1	0	0	0	0	0	0
Vmn1r194	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r195	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r196	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r197	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r198	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r199	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r2	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r20	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r200	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r201	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r202	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r203	0	0	0	0	0	0	0	0	1	0	0	0
Vmn1r204	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r205	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r206	0	0	0	1	0	0	0	0	0	0	0	0
Vmn1r207	1	0	0	0	0	0	0	0	0	0	0	0
Vmn1r208	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r209	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r21	9	25	27	28	4	6	10	7	3	10	1	2
Vmn1r210	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r211	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r212	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r213	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r214	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r215	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r216	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r217	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r218	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r219	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r22	5	10	2	10	1	3	1	0	0	2	0	1
Vmn1r220	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r221	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r222	0	1	0	0	0	0	0	0	0	0	0	0
Vmn1r223	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r224	2	0	0	0	0	0	0	0	0	0	0	0
Vmn1r225	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r226	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r227	0	0	0	1	0	1	0	0	0	0	0	0
Vmn1r228	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r229	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r23	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r230	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r231	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r232	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r233	3	5	3	9	1	0	3	4	3	3	2	7
Vmn1r234	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r235	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r236	0	0	2	0	0	0	0	0	0	0	0	2
Vmn1r237	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r238	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r239-ps	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r24	0	0	0	0	0	0	0	0	0	0	0	1
Vmn1r240	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r241	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r242	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r243	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r244	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r245	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r246	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r247	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r248	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r249	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r25	0	0	0	1	0	0	0	0	0	0	0	0
Vmn1r250	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r251	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r252	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r253	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r254	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r255	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r256	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r257	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r258	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r259	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r26	1	1	0	2	0	1	0	0	0	0	0	0
Vmn1r260	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r261	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r27	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r28	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r29	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r3	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r30	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r31	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r32	4	16	4	19	2	4	4	5	5	13	1	3
Vmn1r33	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r34	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r35	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r36	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r37	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r38	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r39	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r4	17	27	27	34	21	12	14	18	29	21	18	14
Vmn1r40	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r41	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r42	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r43	0	1	0	0	0	0	0	1	0	0	0	0
Vmn1r44	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r45	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r46	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r47	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r48	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r49	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r5	1	0	0	0	1	0	0	2	0	1	0	1
Vmn1r50	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r51	2	1	0	2	0	0	0	1	0	4	0	1
